"","time","eps_nAChR_unbound","eps_helicase_unbound"
"383",382,0.000378932586659757,0.000591009421661042
"384",383,0.000371683966576729,0.000579706326033539
"385",384,0.000364573958298872,0.000568619284827516
"386",385,0.000357599909525967,0.000557744167272806
"387",386,0.000350759219186329,0.000547076922257185
"388",387,0.000344049334414817,0.000536613573623123
"389",388,0.000337467749344748,0.000526350218292627
"390",389,0.000331012047673125,0.000516283092652815
"391",390,0.000324679806989469,0.000506408423373643
"392",391,0.00031846866281328,0.000496722527275648
"393",392,0.00031237629812052,0.000487221795005226
"394",393,0.000306400438858024,0.000477902684046928
"395",394,0.000300538852867724,0.000468761717052772
"396",395,0.000294789384894354,0.000459795536442908
"397",396,0.000289149881112782,0.000451000786714578
"398",397,0.000283618233768161,0.000442374184062872
"399",398,0.000278192378936351,0.000433912512894349
"400",399,0.000272870290994179,0.000425612617209243
"401",400,0.000267649981661574,0.000417471399113159
"402",401,0.000262529528670699,0.00040948586353307
"403",402,0.000257507016941306,0.000401653026483728
"404",403,0.00025258056768403,0.000393969960459579
"405",404,0.000247748342482481,0.000386433800805838
"406",405,0.000243008537056311,0.000379041735996306
"407",406,0.000238359380408381,0.000371791006307688
"408",407,0.000233799158197725,0.000364678940276071
"409",408,0.000229326167564919,0.000357702884247594
"410",409,0.000224938733906352,0.000350860228542781
"411",410,0.000220635219717823,0.000344148421252782
"412",411,0.000216414017917305,0.00033756495782925
"413",412,0.000212273551085699,0.00033110737990367
"414",413,0.000208212290420838,0.000324773304852052
"415",414,0.000204228721712923,0.000318560372732641
"416",415,0.000200321352430863,0.000312466257340721
"417",416,0.000196488724061263,0.000306488685455953
"418",417,0.000192729405201813,0.000300625426073477
"419",418,0.000189041990885423,0.000294874289352537
"420",419,0.000185425117851059,0.000289233150436688
"421",420,0.000181877439589623,0.000283699910536341
"422",421,0.000178397625912804,0.000278272496258469
"423",422,0.000174984377761335,0.000272948882705057
"424",423,0.000171636420235294,0.000267727082604946
"425",424,0.000168352501992509,0.000262605145377689
"426",425,0.000165131407457614,0.000257581176178269
"427",426,0.000161971939202396,0.000252653308417804
"428",427,0.000158872911779026,0.000247819694146894
"429",428,0.000155833168171957,0.000243078529717709
"430",429,0.000152851572893705,0.000238428045017226
"431",430,0.000149927011449382,0.000233866502633778
"432",431,0.000147058400010305,0.000229392212947061
"433",432,0.000144244673680491,0.000225003515828685
"434",433,0.000141484776048928,0.000220698764347789
"435",434,0.00013877767662954,0.000216476351974386
"436",435,0.000136122364118848,0.000212334702064491
"437",436,0.00013351784591939,0.000208272267118145
"438",437,0.00013096315572156,0.000204287540606678
"439",438,0.000128457346454358,0.000200379045978901
"440",439,0.000125999476735699,0.00019654531552782
"441",440,0.000123588628785642,0.000192784918332326
"442",441,0.000121223901916341,0.000189096450104161
"443",442,0.000118904412107889,0.00018547853252742
